KEY,English,French,German,Spanish,Portuegese,Russian,Italian,Vietnamese,Korean,Japanese,Chinese,Thai,Turkish,Indonesian
gold,Gold,Or,Gold,Oro,Ouro,Золото,,Vàng,골드,ゴールド,金币,ทอง,Altın,Emas
gem,Gems,Gemmes,Juwelen,Gemas,Joias,Самоцветы,,Ngọc,보석,ジェム,宝石,เพชร,Cevher,Permata
shop_gem_puschased,Thank you for your purchase! Total:{0} Gems.,Merci pour votre achat ! Total :{0} gemmes.,Danke für deinen Kauf! Insgesamt: {0} Edelsteine.,¡Gracias por tu compra! Total: {0} gemas.,Obrigado por sua compra! Total: {0} joias.,Спасибо за покупку! Всего самоцветов: {0}.,Grazie per l'acquisto! Totale:{0} gemme.,Cảm ơn bạn đã mua {0} ngọc.,,,,ขอบคุณสำหรับการซื้อ! ทั้งหมด:{0} เพชร,Satın aldığın için teşekkürler! Toplam:{0} Cevher.,Terima kasih atas pembeliannya! Total:{0} Permata.
shop_special_offer_purchased,Thank you for purchasing {0}!,Merci pour votre achat {0} !,Danke für deinen Kauf {0}!,¡Gracias por tu compra {0}!,Obrigado por sua compra {0}!,Спасибо за покупку: {0}!,Grazie per l'acquisto: {0}!,Cảm ơn bạn đã mua {0} !,,,,ขอบคุณสำหรับการซื้อ {0}!,{0} satın aldığın için teşekkürler!,Teirma kasih telah membeli {0}!
cashShopLockingMsg,This feature is temporarily unavailable in {0},Cette fonction est temporairement indisponible dans {0},Dieser Komponente ist vorübergehend nicht verfügbar in {0},Función no disponible por el momento en {0},Esta funcionalidade está temporariamente indisponível em {0},Функция временно недоступна: {0},Questa funzione è temporaneamente non disponibile in {0},Tính năng này hiện tại không đưa vào sử dụng trong {0},,,,ฟีเจอร์นี้ใช้งานไม่ได้ชั่วคราวใน {0},Bu özellik {0} boyunca geçici olarak kullanılamıyor,Fitur ini sementara tidak tersedia dalam {0}
secondsFormat,{0:00}s,{0:00}s,{0:00} Sek.,{0:00} s,{0:00}s,{0:00} сек.,{0:00}s,,,,,{0:00}วิ,{0:00}sn,{0:00}d
daysFormat,{0}d,{0}j,{0} Tag(e),{0} d,{0}d,{0} д.,{0}g,,,,,{0}วัน,{0}g,{0}h
hoursFormat,{0}h,{0}h,{0} Std.,{0} h,{0}h,{0} ч.,{0}h,,,,,{0}ชม,{0}sa,{0}j
minutesFormat,{0:00}m,{0:00}m,{0:00} Min.,{0:00} m,{0:00}m,{0:00} мин.,{0:00}m,,,,,{0:00}น,{0:00}dk,{0:00}m
server_maintained,Server Maintenance Announcement\n\nDear players,"the game will be unavailable to access.\nArcade Hunter will be back with more quality updates. Thank you for your patience!""""",,,,,,\nTo ensure the best gaming experience. During the maintenance,,,,ประกาศปิดปรับปรุงระบบ\n\nเรียนผู้เล่น,Sunucu Bakım Duyurusu\n\nSevgili oyuncular,"Pengumuman Pemeliharaan Server\n\nHalo, para pemain"
INVALID_REQUEST,Invalid request,Demande invalide,Unzulässige Anfrage,Petición no válida,Solicitação inválida,Недопустимый запрос,Richiesta non valida,Yêu cầu lỗi,,,,คำขอไม่ถูกต้อง,Geçersiz istek,Permintaan tidak valid
IAP_VERIFY_FAILED,Fail to verify purchase,Échec de vérification de l'achat,Die Verifizierung des Kaufs ist fehlgeschlagen,Error al verificar la compra,Falha ao verificar compra,Не удалось подтвердить покупку,Impossibile verificare l'acquisto,Xác nhận thanh toán thất bại,,,,ยืนยันการซื้อไม่สำเร็จ,Satın alma doğrulanamadı,Gagal memverifikasi pembelian
IAP_TRANSACTION_EXISTED,Transaction existed,La transaction existait,Die Transaktion hat existiert,La transacción se ha comprobado,A transação existiu,Транзакция не удалась,Transazione effettuata,Giao dịch đã tồn tại,,,,มีการซื้อนี้อยู่แล้ว,İşlem zaten mevcut,Transaksi diadakan
IAP_SERVER_ERROR,Server error,Erreur du serveur,Serverfehler,Error del servidor,Erro de servidor,Ошибка сервера,Errore del server,Server lỗi,,,,เซิร์ฟเวอร์ผิดพลาด,Sunucu hatası,Kesalahan server
